,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,55194,90498,793,Y,,,2118,,,,80,,80,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-09-05 08:00,2010-09-06 16:00,2010-09-05 08:00,2010-09-06 16:00,2010-09-05 08:00,2010-09-06 16:00,Y,,,,N,jLe4m7hd5UqYQeCgE7jAgw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-05 08:00,2010-09-06 16:00,16,,
1,55195,90499,793,Y,,,2117,,,,120,,120,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-09-05 08:00,2010-09-07 16:00,2010-09-05 08:00,2010-09-07 16:00,2010-09-05 08:00,2010-09-07 16:00,Y,,,,N,LSRMHst7wE24qJeKIgnwTQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-05 08:00,2010-09-07 16:00,24,,
2,55196,90500,793,Y,,,2120,,,,40,,40,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-09-18 08:00,2010-09-18 16:00,2010-09-18 08:00,2010-09-18 16:00,2010-09-18 08:00,2010-09-18 16:00,Y,,,,N,+3bRolSn80Wglfl5t+36Mw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-18 08:00,2010-09-18 16:00,8,,
3,55197,90501,793,Y,,,2118,,,,240,,240,3.75,,0,3.75,0,,0,0,,0,0,0,0,0,,,2010-09-20 08:00,2010-09-28 16:00,2010-09-20 08:00,2010-09-28 16:00,2010-09-20 08:00,2010-09-28 16:00,Y,,,,N,INfsY/wHJUO04nohHnITzw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-20 08:00,2010-09-28 16:00,64,,
4,55198,90502,793,Y,,,2117,,,,120,,120,2.5,,0,2.5,0,,0,0,,0,0,0,0,0,,,2010-09-22 08:00,2010-09-28 16:00,2010-09-22 08:00,2010-09-28 16:00,2010-09-22 08:00,2010-09-28 16:00,Y,,,,N,PEICmX+1YE+pkfYgYvUaFA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-22 08:00,2010-09-28 16:00,48,,
5,55199,90503,793,Y,,,2120,,,,40,,40,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-09-30 08:00,2010-09-30 16:00,2010-09-30 08:00,2010-09-30 16:00,2010-09-30 08:00,2010-09-30 16:00,Y,,,,N,UvYjtevFpEaKMQfiw7EiIg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-09-30 08:00,2010-09-30 16:00,8,,
6,55200,90504,793,Y,,,2118,,,,120,,120,1.25,,0,1.25,0,,0,0,,0,0,0,0,0,,,2010-10-02 08:00,2010-10-14 16:00,2010-10-02 08:00,2010-10-14 16:00,2010-10-02 08:00,2010-10-14 16:00,Y,,,,N,Yk0nSa2cn0+TEm/D+dxgpg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-10-02 08:00,2010-10-14 16:00,96,,
7,55201,90505,793,Y,,,2117,,,,160,,160,3.33333333,,0,3.33333333,0,,0,0,,0,0,0,0,0,,,2010-10-14 08:00,2010-10-20 16:00,2010-10-14 08:00,2010-10-20 16:00,2010-10-14 08:00,2010-10-20 16:00,Y,,,,N,51evc44TqEi63HcZ/Jom+g,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-10-14 08:00,2010-10-20 16:00,48,,
8,55202,90506,793,Y,,,2120,,,,40,,40,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-10-23 08:00,2010-10-23 16:00,2010-10-23 08:00,2010-10-23 16:00,2010-10-23 08:00,2010-10-23 16:00,Y,,,,N,eooLp73aFkmREImd2j4ccg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 10:04,2010-10-23 08:00,2010-10-23 16:00,8,,
9,55203,90542,793,Y,,,2118,,,,480,,480,1.03448276,,0,1.03448276,0,,0,0,,0,0,0,0,0,,,2010-07-18 08:00,2010-09-23 16:00,2010-07-18 08:00,2010-09-23 16:00,2010-07-19 08:00,2010-09-25 16:00,Y,,,,N,7jsFpH5MBk6/1VQBQc9fOQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:15,2010-07-18 08:00,2010-09-23 16:00,464,,
